experiment,sequence_length,rul_cap,features,rmse,mae,r2,nasa_score
gru_engine_val_seq30_cap125,30,125,15,14.32815535114697,10.473871231079102,0.8811166286468506,325.1699523925781
lstm_engine_val_seq30_cap125,30,125,15,14.37261730847581,10.460478782653809,0.8803777098655701,304.3133239746094
lstm_baseline_seq30_cap125,30,125,15,14.684165283835776,11.080968856811523,0.8751354813575745,335.62176513671875
lstm_2layer_h128_dropout02_seq30_cap125,30,125,15,14.933654545553727,10.971383094787598,0.8708564639091492,407.17392
lstm_engine_val_seq30_cap150_asym_loss,30,150,15,15.075859508399253,10.877586364746094,0.8683851957321167,409.6233215332031
lstm_engine_val_seq30_cap125_asym_loss,30,125,15,15.758799683226345,11.24783420562744,0.8561908006668091,322.4540100097656
lstm_baseline_seq30_cap150,30,150,15,16.55942538531446,12.318458557128906,0.8412071466445923,796.7857055664062
lstm_baseline_seq20_cap125,20,125,15,17.224204416269494,12.465149879455566,0.8282017111778259,732.156494140625
lstm_baseline_seq30_cap100,30,100,15,17.353853159526903,12.807908058166504,0.8256056904792786,388.3706970214844
lstm_engine_val_seq30_cap150,30,150,15,17.366083944920664,12.630200386047363,0.8253597617149353,1178.91650390625
lstm_baseline_seq50_cap125,50,125,15,17.980077102377006,12.138039588928224,0.8127923607826233,891.0014038085938
lstm_engine_val_seq30_cap100,30,100,15,18.531028501785443,13.84770965576172,0.8011436462402344,434.9214172363281
lstm_engine_val_seq30_cap100_asym_loss,30,100,15,19.32412360055916,14.256967544555664,0.7837579846382141,484.86865234375
