sequence_index,true_label,reconstruction_error,predicted_anomaly
0,0,0.0040817386,0
1,0,0.004033629,0
2,0,0.0040454324,0
3,0,0.0040775356,0
4,0,0.0040229447,0
5,0,0.0040794807,0
6,0,0.004107297,0
7,0,0.0041437093,0
8,0,0.0041842246,0
9,0,0.004224041,0
10,0,0.004110493,0
11,0,0.0040909424,0
12,0,0.0040569804,0
13,0,0.003908803,0
14,0,0.0038528473,0
15,0,0.0038919349,0
16,0,0.003852749,0
17,0,0.0038184929,0
18,0,0.003813351,0
19,0,0.0037833042,0
20,0,0.0036792343,0
21,0,0.0037349178,0
22,0,0.0038643365,0
23,0,0.0038639468,0
24,0,0.0038926713,0
25,0,0.0037292696,0
26,0,0.0037735738,0
27,0,0.0037732052,0
28,0,0.0037290484,0
29,0,0.0038990895,0
30,0,0.0038296934,0
31,0,0.00385632,0
32,0,0.003836441,0
33,0,0.0039703255,0
34,0,0.0038892021,0
35,0,0.0038861977,0
36,0,0.0038809276,0
37,0,0.00389369,0
38,0,0.0037964934,0
39,0,0.003706041,0
40,0,0.00367849,0
41,0,0.0036241438,0
42,0,0.0037202158,0
43,0,0.0036653678,0
44,0,0.0037223627,0
45,0,0.0038138966,0
46,0,0.0039296723,0
47,0,0.0039366987,0
48,0,0.0040637655,0
49,0,0.0040793717,0
50,0,0.004165628,0
51,0,0.00409951,0
52,0,0.0039424016,0
53,0,0.003951518,0
54,0,0.0039469562,0
55,0,0.0040423344,0
56,0,0.003997536,0
57,0,0.00408258,0
58,0,0.004073882,0
59,0,0.00390057,0
60,0,0.0040711127,0
61,0,0.004155413,0
62,1,0.0041121263,0
63,1,0.004079919,0
64,1,0.004137326,0
65,1,0.004384246,0
66,1,0.00434359,0
67,1,0.0043540425,0
68,1,0.004523144,0
69,1,0.0045962892,0
70,1,0.004645759,0
71,1,0.004709689,0
72,1,0.0047120466,0
73,1,0.0047626817,0
74,1,0.0046527516,0
75,1,0.0045523504,0
76,1,0.0044736653,0
77,1,0.004681379,0
78,1,0.0048231985,0
79,1,0.004901786,0
80,1,0.0048539345,0
81,1,0.004956326,0
82,1,0.0049272184,0
83,1,0.004936985,0
84,1,0.0049252757,0
85,1,0.0048563215,0
86,1,0.004913778,0
87,1,0.0050687334,0
88,1,0.0049262745,0
89,1,0.0050077406,0
90,1,0.004838636,0
91,1,0.004824287,0
92,1,0.0049821166,0
93,1,0.0051289336,0
94,1,0.005230758,0
95,1,0.0051679844,0
96,1,0.005227155,0
97,1,0.005193206,0
98,1,0.005021995,0
99,1,0.005122809,0
100,1,0.0051798723,0
101,1,0.005177211,0
102,1,0.0054037147,0
103,1,0.005293124,0
104,1,0.005269762,0
105,1,0.0052263583,0
106,1,0.0052148737,0
107,1,0.0050732037,0
108,1,0.004896838,0
109,1,0.0048291176,0
110,1,0.0048439372,0
111,1,0.0049076043,0
