unit,cycle,rul,label,reconstruction_error,predicted_label,rul_range
88.0,87.0,125.0,0,0.046522684,0,120+
56.0,132.0,125.0,0,0.04947627,0,120+
17.0,142.0,125.0,0,0.04847965,0,120+
95.0,87.0,125.0,0,0.056512322,0,120+
2.0,143.0,125.0,0,0.052486345,0,120+
10.0,43.0,125.0,0,0.058114808,1,120+
72.0,59.0,125.0,0,0.045704905,0,120+
9.0,70.0,125.0,0,0.04770136,0,120+
10.0,83.0,125.0,0,0.053488284,0,120+
46.0,135.0,121.0,0,0.047182348,0,120+
85.0,43.0,125.0,0,0.04434609,0,120+
69.0,68.0,125.0,0,0.048840955,0,120+
61.0,56.0,125.0,0,0.058725193,1,120+
84.0,97.0,125.0,0,0.045864318,0,120+
94.0,30.0,125.0,0,0.043398015,0,120+
21.0,54.0,125.0,0,0.048887324,0,120+
85.0,54.0,125.0,0,0.046509527,0,120+
95.0,131.0,125.0,0,0.049965777,0,120+
2.0,119.0,125.0,0,0.04952969,0,120+
10.0,55.0,125.0,0,0.05775184,0,120+
32.0,43.0,125.0,0,0.047801174,0,120+
30.0,39.0,125.0,0,0.060371067,1,120+
16.0,50.0,125.0,0,0.047076255,0,120+
72.0,53.0,125.0,0,0.043620903,0,120+
82.0,54.0,125.0,0,0.053515974,0,120+
54.0,47.0,125.0,0,0.049482882,0,120+
6.0,52.0,125.0,0,0.04561835,0,120+
53.0,38.0,125.0,0,0.044544373,0,120+
35.0,30.0,125.0,0,0.045575496,0,120+
96.0,192.0,125.0,0,0.048582535,0,120+
86.0,67.0,125.0,0,0.04601202,0,120+
95.0,68.0,125.0,0,0.061071992,1,120+
69.0,231.0,125.0,0,0.046729103,0,120+
92.0,125.0,125.0,0,0.04847384,0,120+
4.0,58.0,125.0,0,0.04894779,0,120+
76.0,31.0,125.0,0,0.0477058,0,120+
78.0,50.0,125.0,0,0.057843074,1,120+
81.0,76.0,125.0,0,0.0474691,0,120+
15.0,35.0,125.0,0,0.057764404,0,120+
47.0,82.0,125.0,0,0.05623259,0,120+
10.0,81.0,125.0,0,0.053602178,0,120+
76.0,37.0,125.0,0,0.046690766,0,120+
20.0,56.0,125.0,0,0.04615415,0,120+
99.0,61.0,124.0,0,0.047899358,0,120+
69.0,52.0,125.0,0,0.049404014,0,120+
31.0,72.0,125.0,0,0.05662284,0,120+
59.0,104.0,125.0,0,0.05222152,0,120+
5.0,103.0,125.0,0,0.053946298,0,120+
54.0,78.0,125.0,0,0.048654407,0,120+
35.0,57.0,124.0,0,0.04762575,0,120+
92.0,59.0,125.0,0,0.04790459,0,120+
32.0,56.0,125.0,0,0.044061363,0,120+
76.0,53.0,125.0,0,0.04532847,0,120+
56.0,51.0,125.0,0,0.048432074,0,120+
43.0,45.0,125.0,0,0.056467865,0,120+
14.0,45.0,125.0,0,0.047628477,0,120+
79.0,45.0,125.0,0,0.050240427,0,120+
51.0,36.0,125.0,0,0.044555463,0,120+
47.0,35.0,125.0,0,0.05663186,0,120+
88.0,49.0,125.0,0,0.04691461,0,120+
4.0,52.0,125.0,0,0.050361693,0,120+
69.0,227.0,125.0,0,0.047089204,0,120+
100.0,30.0,125.0,0,0.04994006,0,120+
9.0,47.0,125.0,0,0.050973278,0,120+
55.0,60.0,125.0,0,0.04723615,0,120+
14.0,41.0,125.0,0,0.04796895,0,120+
92.0,193.0,125.0,0,0.04697396,0,120+
6.0,67.0,121.0,0,0.044385068,0,120+
96.0,46.0,125.0,0,0.043765258,0,120+
17.0,148.0,125.0,0,0.049945246,0,120+
64.0,75.0,125.0,0,0.046456248,0,120+
17.0,156.0,120.0,0,0.04866011,0,90-120
7.0,121.0,125.0,0,0.04836954,0,120+
42.0,38.0,125.0,0,0.050669428,0,120+
88.0,33.0,125.0,0,0.046637066,0,120+
86.0,65.0,125.0,0,0.047081213,0,120+
26.0,50.0,125.0,0,0.049591176,0,120+
38.0,47.0,125.0,0,0.045232236,0,120+
85.0,53.0,125.0,0,0.04553838,0,120+
35.0,60.0,121.0,0,0.049040202,0,120+
2.0,155.0,125.0,0,0.054571982,0,120+
69.0,141.0,125.0,0,0.047436684,0,120+
99.0,54.0,125.0,0,0.048779607,0,120+
89.0,68.0,125.0,0,0.044921152,0,120+
94.0,105.0,125.0,0,0.04679737,0,120+
92.0,150.0,125.0,0,0.047236998,0,120+
96.0,69.0,125.0,0,0.04937723,0,120+
100.0,77.0,123.0,0,0.04830228,0,120+
20.0,103.0,125.0,0,0.046138596,0,120+
2.0,88.0,125.0,0,0.06013409,1,120+
69.0,32.0,125.0,0,0.04645723,0,120+
61.0,36.0,125.0,0,0.05871627,1,120+
59.0,84.0,125.0,0,0.055961754,0,120+
88.0,85.0,125.0,0,0.047596205,0,120+
43.0,56.0,125.0,0,0.05261389,0,120+
15.0,37.0,125.0,0,0.05840773,1,120+
47.0,64.0,125.0,0,0.050343603,0,120+
2.0,164.0,123.0,0,0.047604244,0,120+
92.0,151.0,125.0,0,0.047302175,0,120+
51.0,35.0,125.0,0,0.045821838,0,120+
20.0,71.0,125.0,0,0.04508994,0,120+
72.0,55.0,125.0,0,0.04376381,0,120+
72.0,63.0,125.0,0,0.045078736,0,120+
64.0,31.0,125.0,0,0.04853707,0,120+
92.0,112.0,125.0,0,0.04754905,0,120+
2.0,144.0,125.0,0,0.05230595,0,120+
16.0,65.0,125.0,0,0.048506133,0,120+
9.0,39.0,125.0,0,0.04822759,0,120+
38.0,32.0,125.0,0,0.049682025,0,120+
59.0,91.0,125.0,0,0.05505539,0,120+
78.0,39.0,125.0,0,0.05881665,1,120+
31.0,106.0,125.0,0,0.050616592,0,120+
95.0,71.0,125.0,0,0.060097747,1,120+
2.0,67.0,125.0,0,0.052256275,0,120+
46.0,48.0,125.0,0,0.05085088,0,120+
34.0,62.0,125.0,0,0.048202023,0,120+
66.0,31.0,125.0,0,0.048818517,0,120+
44.0,52.0,125.0,0,0.04902202,0,120+
47.0,38.0,125.0,0,0.054531623,0,120+
30.0,60.0,125.0,0,0.05303027,0,120+
10.0,68.0,125.0,0,0.05972823,1,120+
75.0,38.0,125.0,0,0.046246797,0,120+
40.0,40.0,125.0,0,0.045879595,0,120+
31.0,69.0,125.0,0,0.059899326,1,120+
67.0,31.0,125.0,0,0.050009783,0,120+
40.0,49.0,125.0,0,0.046019882,0,120+
54.0,89.0,125.0,0,0.053465188,0,120+
83.0,111.0,125.0,0,0.056119375,0,120+
28.0,42.0,123.0,0,0.05230199,0,120+
92.0,195.0,125.0,0,0.048012596,0,120+
47.0,46.0,125.0,0,0.0509985,0,120+
50.0,34.0,125.0,0,0.045929972,0,120+
23.0,45.0,123.0,0,0.049279038,0,120+
96.0,158.0,125.0,0,0.04971661,0,120+
35.0,43.0,125.0,0,0.046247248,0,120+
6.0,32.0,125.0,0,0.04643028,0,120+
52.0,76.0,125.0,0,0.045049585,0,120+
95.0,148.0,125.0,0,0.046263386,0,120+
18.0,66.0,125.0,0,0.047661483,0,120+
56.0,121.0,125.0,0,0.047199786,0,120+
95.0,58.0,125.0,0,0.058887694,1,120+
84.0,36.0,125.0,0,0.04562211,0,120+
46.0,59.0,125.0,0,0.046869796,0,120+
62.0,51.0,125.0,0,0.045032952,0,120+
78.0,103.0,125.0,0,0.054297358,0,120+
87.0,39.0,125.0,0,0.047532894,0,120+
94.0,110.0,125.0,0,0.048252497,0,120+
81.0,68.0,125.0,0,0.047644172,0,120+
26.0,53.0,125.0,0,0.049206484,0,120+
79.0,49.0,125.0,0,0.050104287,0,120+
69.0,126.0,125.0,0,0.04985099,0,120+
1.0,44.0,125.0,0,0.04530269,0,120+
81.0,70.0,125.0,0,0.048075855,0,120+
96.0,127.0,125.0,0,0.045048777,0,120+
100.0,40.0,125.0,0,0.044947147,0,120+
3.0,48.0,125.0,0,0.04728173,0,120+
69.0,226.0,125.0,0,0.046681207,0,120+
67.0,172.0,125.0,0,0.047870442,0,120+
68.0,31.0,125.0,0,0.04625973,0,120+
83.0,41.0,125.0,0,0.058542695,1,120+
92.0,86.0,125.0,0,0.047778882,0,120+
4.0,40.0,125.0,0,0.04725358,0,120+
81.0,37.0,125.0,0,0.0476189,0,120+
31.0,111.0,123.0,0,0.05239135,0,120+
96.0,150.0,125.0,0,0.050616786,0,120+
63.0,45.0,125.0,0,0.049504016,0,120+
79.0,78.0,121.0,0,0.0499679,0,120+
96.0,190.0,125.0,0,0.049085464,0,120+
31.0,91.0,125.0,0,0.050186273,0,120+
2.0,154.0,125.0,0,0.05525939,0,120+
5.0,98.0,125.0,0,0.053433508,0,120+
2.0,52.0,125.0,0,0.048491236,0,120+
69.0,33.0,125.0,0,0.046710562,0,120+
47.0,73.0,125.0,0,0.05319765,0,120+
82.0,37.0,125.0,0,0.054955907,0,120+
2.0,66.0,125.0,0,0.051839706,0,120+
67.0,134.0,125.0,0,0.042758822,0,120+
82.0,92.0,122.0,0,0.05023852,0,120+
84.0,104.0,125.0,0,0.045836043,0,120+
53.0,75.0,120.0,0,0.05148521,0,90-120
99.0,65.0,120.0,0,0.048911955,0,90-120
17.0,61.0,125.0,0,0.04755653,0,120+
53.0,67.0,125.0,0,0.05177941,0,120+
92.0,31.0,125.0,0,0.048426,0,120+
22.0,38.0,125.0,0,0.04434353,0,120+
50.0,78.0,120.0,0,0.04947004,0,90-120
38.0,43.0,125.0,0,0.04653597,0,120+
25.0,94.0,125.0,0,0.04848731,0,120+
49.0,77.0,125.0,0,0.045062203,0,120+
96.0,70.0,125.0,0,0.050156064,0,120+
64.0,60.0,125.0,0,0.045826986,0,120+
95.0,112.0,125.0,0,0.052574277,0,120+
36.0,34.0,124.0,0,0.046206534,0,120+
67.0,101.0,125.0,0,0.04947736,0,120+
52.0,84.0,125.0,0,0.046722226,0,120+
67.0,185.0,125.0,0,0.047723517,0,120+
52.0,59.0,125.0,0,0.04326983,0,120+
84.0,113.0,125.0,0,0.04564739,0,120+
47.0,39.0,125.0,0,0.05458272,0,120+
42.0,52.0,125.0,0,0.051919684,0,120+
69.0,106.0,125.0,0,0.045839302,0,120+
72.0,49.0,125.0,0,0.043415137,0,120+
64.0,108.0,125.0,0,0.045430586,0,120+
3.0,30.0,125.0,0,0.046246976,0,120+
64.0,119.0,125.0,0,0.046956364,0,120+
54.0,134.0,123.0,0,0.047440432,0,120+
63.0,30.0,125.0,0,0.04786137,0,120+
82.0,47.0,125.0,0,0.055778828,0,120+
59.0,106.0,125.0,0,0.05310002,0,120+
64.0,63.0,125.0,0,0.046590857,0,120+
67.0,190.0,123.0,0,0.048562255,0,120+
25.0,74.0,125.0,0,0.04708876,0,120+
95.0,156.0,125.0,0,0.048176635,0,120+
69.0,102.0,125.0,0,0.045232162,0,120+
17.0,87.0,125.0,0,0.042611886,0,120+
69.0,161.0,125.0,0,0.04812852,0,120+
85.0,41.0,125.0,0,0.044218756,0,120+
20.0,113.0,121.0,0,0.045669552,0,120+
1.0,53.0,125.0,0,0.045062646,0,120+
17.0,153.0,123.0,0,0.049105786,0,120+
86.0,142.0,125.0,0,0.043944236,0,120+
41.0,60.0,125.0,0,0.050855435,0,120+
9.0,53.0,125.0,0,0.052719187,0,120+
5.0,38.0,125.0,0,0.061316013,1,120+
46.0,70.0,125.0,0,0.048375078,0,120+
96.0,94.0,125.0,0,0.050433233,0,120+
11.0,39.0,125.0,0,0.060248483,1,120+
92.0,98.0,125.0,0,0.047529757,0,120+
54.0,97.0,125.0,0,0.05119725,0,120+
69.0,222.0,125.0,0,0.046838194,0,120+
69.0,156.0,125.0,0,0.046565596,0,120+
73.0,79.0,125.0,0,0.04706475,0,120+
83.0,80.0,125.0,0,0.05153166,0,120+
82.0,51.0,125.0,0,0.05321536,0,120+
14.0,58.0,122.0,0,0.048020534,0,120+
32.0,69.0,122.0,0,0.044676583,0,120+
80.0,63.0,122.0,0,0.04670442,0,120+
69.0,144.0,125.0,0,0.047823887,0,120+
25.0,107.0,123.0,0,0.045577906,0,120+
55.0,65.0,125.0,0,0.04887979,0,120+
12.0,40.0,125.0,0,0.047691986,0,120+
22.0,77.0,125.0,0,0.048546344,0,120+
10.0,79.0,125.0,0,0.054045856,0,120+
97.0,50.0,125.0,0,0.048342563,0,120+
81.0,44.0,125.0,0,0.04670361,0,120+
84.0,47.0,125.0,0,0.044299666,0,120+
67.0,83.0,125.0,0,0.04791418,0,120+
51.0,71.0,125.0,0,0.059998892,1,120+
93.0,32.0,123.0,0,0.050422255,0,120+
1.0,45.0,125.0,0,0.045329574,0,120+
5.0,125.0,125.0,0,0.051731315,0,120+
41.0,33.0,125.0,0,0.053835087,0,120+
5.0,104.0,125.0,0,0.053742975,0,120+
44.0,63.0,125.0,0,0.051311493,0,120+
92.0,50.0,125.0,0,0.04736439,0,120+
95.0,109.0,125.0,0,0.054395955,0,120+
13.0,36.0,125.0,0,0.04283322,0,120+
84.0,123.0,125.0,0,0.047982298,0,120+
73.0,55.0,125.0,0,0.044968646,0,120+
25.0,46.0,125.0,0,0.049508736,0,120+
53.0,42.0,125.0,0,0.044790026,0,120+
69.0,197.0,125.0,0,0.04673858,0,120+
71.0,77.0,125.0,0,0.042067718,0,120+
67.0,145.0,125.0,0,0.044294,0,120+
96.0,34.0,125.0,0,0.045240983,0,120+
69.0,216.0,125.0,0,0.047176853,0,120+
55.0,71.0,122.0,0,0.048074942,0,120+
68.0,79.0,120.0,0,0.046552245,0,90-120
81.0,35.0,125.0,0,0.048416376,0,120+
64.0,145.0,125.0,0,0.046373546,0,120+
95.0,160.0,123.0,0,0.047467306,0,120+
30.0,41.0,125.0,0,0.05817287,1,120+
75.0,65.0,125.0,0,0.046643823,0,120+
85.0,37.0,125.0,0,0.04741149,0,120+
11.0,38.0,125.0,0,0.060456283,1,120+
56.0,103.0,125.0,0,0.043521557,0,120+
1.0,38.0,125.0,0,0.047694247,0,120+
68.0,78.0,121.0,0,0.04633201,0,120+
30.0,44.0,125.0,0,0.0534528,0,120+
47.0,94.0,120.0,0,0.054725546,0,90-120
30.0,63.0,125.0,0,0.055557813,0,120+
96.0,36.0,125.0,0,0.045037575,0,120+
4.0,49.0,125.0,0,0.050668176,0,120+
26.0,64.0,125.0,0,0.04981714,0,120+
63.0,33.0,125.0,0,0.04802616,0,120+
7.0,85.0,125.0,0,0.053160634,0,120+
20.0,110.0,124.0,0,0.04682372,0,120+
1.0,63.0,125.0,0,0.04554135,0,120+
59.0,36.0,125.0,0,0.05525729,0,120+
41.0,34.0,125.0,0,0.053630162,0,120+
40.0,39.0,125.0,0,0.04554925,0,120+
81.0,62.0,125.0,0,0.049145635,0,120+
69.0,185.0,125.0,0,0.047749184,0,120+
67.0,176.0,125.0,0,0.048441764,0,120+
53.0,31.0,125.0,0,0.043813538,0,120+
54.0,30.0,125.0,0,0.051411223,0,120+
71.0,81.0,125.0,0,0.04244115,0,120+
83.0,119.0,125.0,0,0.05516181,0,120+
30.0,65.0,125.0,0,0.054497138,0,120+
71.0,45.0,125.0,0,0.045804635,0,120+
16.0,76.0,125.0,0,0.049449984,0,120+
26.0,63.0,125.0,0,0.05087816,0,120+
37.0,32.0,125.0,0,0.0465496,0,120+
69.0,56.0,125.0,0,0.048537835,0,120+
11.0,60.0,125.0,0,0.051252324,0,120+
97.0,82.0,120.0,0,0.047172412,0,90-120
92.0,209.0,125.0,0,0.04810718,0,120+
81.0,47.0,125.0,0,0.04718274,0,120+
50.0,36.0,125.0,0,0.046425555,0,120+
84.0,37.0,125.0,0,0.04530912,0,120+
48.0,43.0,125.0,0,0.059946444,1,120+
6.0,60.0,125.0,0,0.044440836,0,120+
62.0,53.0,125.0,0,0.045068733,0,120+
69.0,172.0,125.0,0,0.05087762,0,120+
11.0,96.0,125.0,0,0.045633327,0,120+
79.0,60.0,125.0,0,0.048966356,0,120+
84.0,31.0,125.0,0,0.045147948,0,120+
67.0,110.0,125.0,0,0.047402956,0,120+
7.0,46.0,125.0,0,0.049502462,0,120+
22.0,31.0,125.0,0,0.046541657,0,120+
73.0,43.0,125.0,0,0.04588628,0,120+
69.0,93.0,125.0,0,0.044849314,0,120+
