unit,cycle,rul,label,reconstruction_error,predicted_label,rul_range
88.0,87.0,125.0,0,0.0041623446,0,120+
56.0,132.0,125.0,0,0.004574994,0,120+
17.0,142.0,125.0,0,0.0045806845,0,120+
95.0,87.0,125.0,0,0.0117995115,0,120+
2.0,143.0,125.0,0,0.009995141,0,120+
10.0,43.0,125.0,0,0.01364688,1,120+
72.0,59.0,125.0,0,0.0060612997,0,120+
9.0,70.0,125.0,0,0.0076448084,0,120+
10.0,83.0,125.0,0,0.011498241,0,120+
46.0,135.0,121.0,0,0.0044307085,0,120+
85.0,43.0,125.0,0,0.0034958462,0,120+
69.0,68.0,125.0,0,0.0044762073,0,120+
61.0,56.0,125.0,0,0.012421985,0,120+
84.0,97.0,125.0,0,0.0038694455,0,120+
94.0,30.0,125.0,0,0.0038754903,0,120+
21.0,54.0,125.0,0,0.0046147816,0,120+
85.0,54.0,125.0,0,0.003838556,0,120+
95.0,131.0,125.0,0,0.0080118645,0,120+
2.0,119.0,125.0,0,0.007966051,0,120+
10.0,55.0,125.0,0,0.012176296,0,120+
32.0,43.0,125.0,0,0.00447402,0,120+
30.0,39.0,125.0,0,0.014821212,1,120+
16.0,50.0,125.0,0,0.003980286,0,120+
72.0,53.0,125.0,0,0.0037332075,0,120+
82.0,54.0,125.0,0,0.010066597,0,120+
54.0,47.0,125.0,0,0.0061166445,0,120+
6.0,52.0,125.0,0,0.0040930123,0,120+
53.0,38.0,125.0,0,0.0055953753,0,120+
35.0,30.0,125.0,0,0.0038990742,0,120+
96.0,192.0,125.0,0,0.006231849,0,120+
86.0,67.0,125.0,0,0.0037979654,0,120+
95.0,68.0,125.0,0,0.014922918,1,120+
69.0,231.0,125.0,0,0.0042997003,0,120+
92.0,125.0,125.0,0,0.00436937,0,120+
4.0,58.0,125.0,0,0.006463827,0,120+
76.0,31.0,125.0,0,0.0041932897,0,120+
78.0,50.0,125.0,0,0.013532537,1,120+
81.0,76.0,125.0,0,0.0041478607,0,120+
15.0,35.0,125.0,0,0.014402984,1,120+
47.0,82.0,125.0,0,0.010729346,0,120+
10.0,81.0,125.0,0,0.011461362,0,120+
76.0,37.0,125.0,0,0.004134667,0,120+
20.0,56.0,125.0,0,0.004193752,0,120+
99.0,61.0,124.0,0,0.006070947,0,120+
69.0,52.0,125.0,0,0.004740288,0,120+
31.0,72.0,125.0,0,0.012069143,0,120+
59.0,104.0,125.0,0,0.011392279,0,120+
5.0,103.0,125.0,0,0.010317855,0,120+
54.0,78.0,125.0,0,0.006290036,0,120+
35.0,57.0,124.0,0,0.004321781,0,120+
92.0,59.0,125.0,0,0.00442718,0,120+
32.0,56.0,125.0,0,0.0038832668,0,120+
76.0,53.0,125.0,0,0.0038981899,0,120+
56.0,51.0,125.0,0,0.004322918,0,120+
43.0,45.0,125.0,0,0.011980638,0,120+
14.0,45.0,125.0,0,0.0044348864,0,120+
79.0,45.0,125.0,0,0.0064594103,0,120+
51.0,36.0,125.0,0,0.0038195504,0,120+
47.0,35.0,125.0,0,0.010870058,0,120+
88.0,49.0,125.0,0,0.0059873955,0,120+
4.0,52.0,125.0,0,0.006757186,0,120+
69.0,227.0,125.0,0,0.0044650217,0,120+
100.0,30.0,125.0,0,0.00649794,0,120+
9.0,47.0,125.0,0,0.008217473,0,120+
55.0,60.0,125.0,0,0.00410952,0,120+
14.0,41.0,125.0,0,0.004565632,0,120+
92.0,193.0,125.0,0,0.00434703,0,120+
6.0,67.0,121.0,0,0.003678367,0,120+
96.0,46.0,125.0,0,0.0037961937,0,120+
17.0,148.0,125.0,0,0.006493416,0,120+
64.0,75.0,125.0,0,0.0041077915,0,120+
17.0,156.0,120.0,0,0.0062005324,0,90-120
7.0,121.0,125.0,0,0.0048059756,0,120+
42.0,38.0,125.0,0,0.00791335,0,120+
